"","AddresseeAffiliation","AuthorName","Keyword","MimeType","LicenseNumber","AuthorAffiliation","CaseReferenceNumber","DocumentType","DocketNumber","CompoundDocumentState","EstimatedPageCount","ContentSize","DocumentTitle","AccessionNumber","PublishDatePARS","DocumentDate","URI","AddresseeName","DocumentReportNumber","DateDocketed","PackageNumber"
"71","NRC/NRR","Effinger J","exb3, nxp, oarc20090116rbs=Removed Non-Public Pending Review-Released, changed availability and added date to be released and added date to date reviewed for public release, SUNSI Review Complete, utsPARS","application/pdf",NA,"Duke Energy Carolinas, LLC","Event# 44732","Part 21 Correspondence","05000369, 05000370, 05000413, 05000414","false ","2","77,075","Part 21 Notification - Defective Optical Isolators.","ML083590346","01/16/2009 02:45 PM EST",2008-12-22,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BD58B75C2-2F90-4745-BB6F-9DF2070AEB9C%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Notification - Defective Optical Isolators.",NA,NA,NA,NA
"72","NRC/Document Control Desk, NRC/NRO","Porter D E","laf1, nrpars, OARC20080117mjr=Removed Non-Public Pending Review-Released, Changed the availability,  Added review date, release date, and SUNSI comment, OARC20080408mjr=Added the docket number, SUNSI Review Complete, tjb2, utsPARS","application/pdf",NA,"GE-Hitachi Nuclear Energy Americas, LLC","MFN 07-040 Suppl 1","Letter, Part 21 Correspondence","05200010, PROJ0710","false ","39","1,146,737","Part 21 Notification: Adequacy of GE Thermal-Mechanical Methodology, GESTR-M - Supplement 1.","ML080100670","04/09/2008 04:31 PM EDT",2008-01-04,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B03F83C5E-69F6-439B-9937-8A88B2847AB1%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Notification: Adequacy of GE Thermal-Mechanical Methodology, GESTR-M - Supplement 1.",NA,NA,NA,NA
"73","NRC/OCIO/IMD/RMB","Hanson J M","oarc20020501jdb3, oarc20021017mmn, oarc20021202dnw, oarc20021217dnw, oarc20021219dnw, oarc20021223dnw, TIFF converted to PDF 12/05/2005","application/pdf","DPR-031, DPR-038, DPR-041, DPR-047, DPR-049, DPR-055, NPF-004, NPF-007","Swagelok Co",NA,"Part 21 Correspondence","05000250, 05000251, 05000269, 05000270, 05000287, 05000331, 05000338, 05000339","false ","8","221,534","Part 21 regarding failure to comply with notification of potential defect in Swagelok tube fitting on December 17, 1999.","ML003727863","07/11/2000 09:08 AM EDT",2000-06-23,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BCE9EC1F3-D513-4465-B4CD-91E23C9DE431%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 regarding failure to comply with notification of potential defect in Swagelok tube fitting on December 17, 1999.",NA,NA,NA,NA
"74","NRC/Document Control Desk, NRC/NRR","Klein J","DPCautoadd, ems2, jrr3, OARC20150813mtr1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"Crane Nuclear, Inc","51296","Deficiency Correspondence (per 10CFR50.55e and Part 21), Letter, Part 21 Correspondence","05000206, 05000259, 05000260, 05000296, 05000321, 05000361, 05000362, 05000366","false ","5","230,360","Part 21 Report - Crane Nuclear Pressure Seal Valve with Retaining Rings.","ML15223B266","08/13/2015 08:02 AM EDT",2015-08-07,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B6ED4D31D-98F9-4973-ACF0-3059BC2D4580%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Report - Crane Nuclear Pressure Seal Valve with Retaining Rings.",NA,NA,NA,NA
"75","NRC/Document Control Desk, NRC/NRR","Brown D C","DPCautoadd, ems2, OARC20150813mtr1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, tjb2, utsPARS","application/pdf",NA,"ABB, Inc",NA,"Deficiency Report (per 10CFR50.55e and Part 21), E-Mail, Letter, Part 21 Correspondence","05000280, 05000281, 05000327, 05000328, 05000341, 05000352, 05000353","false ","6","2,562,922","Part 21 Report - Notification of Deviation Regarding HK Circuit Breaker Pivot Pin.","ML15223B264","08/13/2015 08:01 AM EDT",2015-08-06,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BEBB95173-3DE2-4594-BCD0-6315E3E55D84%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Report - Notification of Deviation Regarding HK Circuit Breaker Pivot Pin.",NA,NA,NA,NA
"76","NRC/NRR","Hancock T W","AOA1, dnd, DPCautoadd, SUNSI Review Complete, utsPARS","application/pdf",NA,"United Energy Services Corp",NA,"Part 21 Correspondence",NA,"false ","72","3,712,825","Part 21 Report BIW 1E Instrumentation & Control Cables.","ML18361A822","01/07/2019 08:39 AM EST",1993-08-05,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BD61117D3-A594-4D69-B301-A90B1AB01ACD%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Report BIW 1E Instrumentation & Control Cables.","Grimes B K","NUDOCS 9308300150",NA,NA
"77","NRC/NRR","Horner T","DPCautoadd, cxs7, rls1, OARC20120213mdc-Removed Non-Public Pending Review-Released, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"Engine Systems, Inc","47635","Deficiency Report (per 10CFR50.55e and Part 21), Part 21 Correspondence","05000298","false ","7","208,283","Part 21 Report- Foreign Material Found in Emergency Diesel Generator High Pressure Fuel Hose.","ML12038A029","02/13/2012 10:38 AM EST",2012-02-03,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B15909153-2712-4158-9BBD-132AFBCDF74B%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Report- Foreign Material Found in Emergency Diesel Generator High Pressure Fuel Hose.",NA,NA,NA,NA
"78","NRC/RGN-III","Schmitt J W","dml1, nxp, TIFF converted to PDF 11/09/2005","application/pdf",NA,"Rosemount Nuclear Instruments, Inc",NA,"Part 21 Correspondence",NA,"false ","20","951,503","Part 21 Report from Rosemont on Model 1153 Pressure Transmitter Temperature Effect Specification.","ML022620059","09/27/2002 08:57 AM EDT",2002-09-09,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B053D1D77-F2BC-477F-ABA4-EC0722556F95%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Report from Rosemont on Model 1153 Pressure Transmitter Temperature Effect Specification.",NA,NA,NA,NA
"79","NRC/Document Control Desk, NRC/FSME","Hutchins T","dnw, oarc20040714dnw, OARC20041112RFPFR=Unfiled from//December 2003/December 31, 2003, OARC20060901MAB8, OARC20070831MAB8, tjb2, OARC20111027sih-Added SUNSI Comment and Release Date., SUNSI Review Complete, utsPARS","application/pdf","DPR-002, DPR-012, DPR-019, DPR-025, DPR-026, DPR-029, DPR-030, DPR-044, DPR-046, DPR-056, NPF-035, NPF-039, NPF-085","Automatic Valve","-RFPFR","Part 21 Correspondence","05000010, 05000171, 05000237, 05000249, 05000254, 05000265, 05000277, 05000278, 05000298, 05000352, 05000353","false ","7","351,112","Part 21 Report on Potential Concern Regarding Specific Lot of Fluorocarbon Rubber Inserts.","ML033530127","10/27/2011 03:36 PM EDT",2003-12-16,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BE5605BD5-B9F2-4252-99A0-37148C0A09C1%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Report on Potential Concern Regarding Specific Lot of Fluorocarbon Rubber Inserts.",NA,NA,NA,NA
"80","NRC/Document Control Desk, NRC/NRR","Collins T","dnw, JRR3, oarc20060808mmn, OARC20070913MAB8","application/pdf","DPR-072","Fairbanks Morse Engine",NA,"Part 21 Correspondence","05000302","false ","2","82,062","Part 21 Report Regarding a Potential Safety Hazard Associated With the Use of Turbocharger at Crystal River, Unit 3.","ML040500244","02/27/2004 11:21 AM EST",2004-02-16,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B72BB98DB-082B-4BC0-900E-9103DA4F1157%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Report Regarding a Potential Safety Hazard Associated With the Use of Turbocharger at Crystal River, Unit 3.",NA,NA,NA,NA
"81","NRC/Document Control Desk, NRC/NRR","Mallay J F","dnw, OARC20050323mjr=Changed the availability, 2. Added SISP comment, 3. Added the release date, OARC20070906MAB8, SISP Review Complete, tjb2","application/pdf",NA,"Framatome ANP, Inc","+sispmjr200503, NRC:04:063","Letter, Part 21 Correspondence","PROJ0728","false ","3","129,269","Part 21 Report Regarding Evaluation of a Potential Safety Significant Issue Pursuant to 10CFR21(a)(2).","ML043350183","03/23/2005 03:43 PM EST",2004-11-23,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B5728FEED-1E40-4467-99E0-E16E10411FA5%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Report Regarding Evaluation of a Potential Safety Significant Issue Pursuant to 10CFR21(a)(2).",NA,NA,NA,NA
"82","NRC/NRR, NRC/RGN-I, NRC/RGN-II, NRC/RGN-III, NRC/RGN-IV","Pease J","dnw, oarc20040503dnw, oarc20040518dnw, oarc20050810mab8, tjb2","application/pdf","NPF-012","South Carolina Electric & Gas Co","40364","Part 21 Correspondence","05000395","false ","2","121,621","Part 21 Report Regarding Nonconformance for Solid State Protection Master Relay.","ML033370799","12/11/2003 09:30 AM EST",2003-12-01,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B381733C8-9291-4001-9B41-6D7AB46427F6%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Report Regarding Nonconformance for Solid State Protection Master Relay.","Beckner W D, Bonser B R, Burgess B L, Conte R J, Foster J W, Johnson C E",NA,NA,NA
"83","NRC/Document Control Desk, NRC/NRR","Collins T","dnw, oarc20060817mmn, OARC20060901MAB8, OARC20070907mab8, tjb2","application/pdf","NPF-006, NPF-039, NPF-085","Fairbanks Morse Engine",NA,"Part 21 Correspondence","05000352, 05000353, 05000368","false ","2","103,859","Part 21 Report Regarding Potential Safety Hazard for Blowers on OP Engines (Limerick and ANO-2).","ML040900366","04/07/2004 09:24 AM EDT",2004-03-25,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B8D03B786-661E-4084-97A6-0318F9D2CEEC%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Report Regarding Potential Safety Hazard for Blowers on OP Engines (Limerick and ANO-2).",NA,NA,NA,NA
"84","NRC/NRR","Simeon E, White R W","OARC20020409JDB3, oarc20021203mmn, oarc20021204mmn, oarc20021216dnw, oarc20021217dnw, OARC20071205MAB8, TIFF converted to PDF 12/10/2005","application/pdf","DPR-038, DPR-047, DPR-055, NPF-009, NPF-017, NPF-035, NPF-052","Keeler & Long PPG",NA,"Part 21 Correspondence","05000269, 05000270, 05000287, 05000369, 05000370, 05000413, 05000414","false ","2","121,304","Part 21 Report regarding purchase of small quantities of 8674 Exterior Silicone Stainless Steel Enamal,believed to be qualified for use in containment,from Keeler & Long PPG,","ML003712373","05/11/2000 09:48 AM EDT",2000-05-03,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BC39F4B29-11B6-4C66-B0A2-4A27B725713E%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Report regarding purchase of small quantities of 8674 Exterior Silicone Stainless Steel Enamal,believed to be qualified for use in containment,from Keeler & Long PPG,",NA,NA,NA,NA
"85","NRC/Document Control Desk, NRC/NMSS/PMDA","Post J S","stt, tjb2","application/pdf",NA,"General Electric Co","MFN 04-116","Letter, Part 21 Correspondence",NA,"false ","6","326,689","Part 21 Transfer of Information: Turbine Control System Impact on Transient Analyses.","ML043230568","11/30/2004 10:18 PM EST",2004-11-12,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B8202A669-A281-4E99-AFED-B07C1AA97348%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Part 21 Transfer of Information: Turbine Control System Impact on Transient Analyses.",NA,NA,NA,NA
"86","NRC/NRR","Ferrarini V P","SUNSI Review Complete, lxk1, rls1, utsPARS, oarc20110110lmk=Corrected year in release date","application/pdf",NA,"Phi-Delta, Inc",NA,"Letter, Deficiency Report (per 10CFR50.55e and Part 21), Part 21 Correspondence","05000286, 05000293, 05000333, 05000247","false ","4","490,376","Phi-Delta BUG/Enhancement/Error Report.","ML110060129","01/10/2011 08:34 AM EST",2010-12-07,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BECE5BBB6-743F-4604-882D-6AFCE636D27E%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Phi-Delta BUG/Enhancement/Error Report.",NA,"B6.0-244",NA,NA
"87","NRC/Document Control Desk, NRC/NRR","Burton H","dnw, laf1, oarc20060807mmn, OARC20070907mab8","application/pdf","DPR-066","SCIENTECH","21-04-02","Part 21 Correspondence","05000334, 05000412","false ","5","273,749","Potential Defect Under 10CFR21 Regarding Electronic Modules Supplied to the First Energy Beaver Valley Nuclear Plant.","ML043280597","12/02/2004 10:31 PM EST",2004-11-15,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B7ED75A20-1C43-4524-9FF6-DC33BAE4F633%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Potential Defect Under 10CFR21 Regarding Electronic Modules Supplied to the First Energy Beaver Valley Nuclear Plant.",NA,NA,NA,NA
"88","NRC/RGN-II/DNMS/FFB","Buchanan J E","NMSS/RGN Materials-001, oarc20020827mmn, oarc20021112dnw, oarc20030403dnw, oarc20060721mmn, OARC20081203SALMAP by Admincvl1, OARC20090303jbr1 PII Review Complete, TIFF converted to PDF 12/14/2005","application/pdf","NC 041-0766-1","S. K. McBryde, Inc",NA,"Part 21 Correspondence, Report of Proposed Activities in Non-Agreement States, NRC Form 241",NA,"false ","1","196,549","Reciprocity-Clarification of Report of Proposed Activities in Non-Agreement States for Scheduled  Radiography on 01/30/01 & 02/01/01 in Bristol,Virginia","ML010750140","03/23/2001 09:04 AM EST",2001-01-26,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B688C78C8-31CA-4A2C-92B4-C5D3BD6AA100%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Reciprocity-Clarification of Report of Proposed Activities in Non-Agreement States for Scheduled  Radiography on 01/30/01 & 02/01/01 in Bristol,Virginia","Kirby J H",NA,NA,NA
"89","NRC/RGN-I","Piccolo R G","NMSS/RGN Materials-006, NRC-002, SUNSI Review Complete, cxs7, rls1, utsPARS","application/pdf","45-30957-01","Varian Medical Systems, Inc",NA,"Facsimile, Part 21 Correspondence","03036666","false ","6","188,704","Redacted: Notification dated 1/14/09 (initial Part 21 report filing).","ML093410038","05/20/2011 04:18 PM EDT",2009-01-14,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BF989C1BC-387F-437B-981C-FC2177D4DA89%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Redacted: Notification dated 1/14/09 (initial Part 21 report filing).",NA,NA,NA,NA
"90","NRC/Document Control Desk, NRC/NRR","Gonnam R W, Ruiz M","lcc2, oarc20070919wjd1, tjb2","application/pdf",NA,"ABB, Inc",NA,"Letter, Part 21 Correspondence",NA,"false ","2","109,084","Report of Potential Defect per 10-CFR Part 21 Type COV-8 and COV-9 Relay.","ML031470326","06/04/2003 09:59 AM EDT",2003-05-16,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B934D174D-C160-40F3-B6F6-BE644C44E145%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Report of Potential Defect per 10-CFR Part 21 Type COV-8 and COV-9 Relay.",NA,NA,NA,NA
"91","NRC/Document Control Desk, NRC/NRR","Gonnam R W, Ruiz M","lcc2, oarc20070919wjd1, tjb2","application/pdf",NA,"ABB, Inc",NA,"Letter, Part 21 Correspondence",NA,"false ","2","117,758","Report of Potential Defect per 10-CFR Part 21 Type KLF and KLF-1 Relay.","ML031470313","06/04/2003 09:58 AM EDT",2003-05-16,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B7E810A5F-C61B-4994-A5C9-3E5486DA19F4%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Report of Potential Defect per 10-CFR Part 21 Type KLF and KLF-1 Relay.",NA,NA,NA,NA
"92","NRC/Document Control Desk, NRC/NRR","Bacon S","AOA1, EIEAutoPop, stt, OARC20170228wjd1-Removed Non-Public Pending Review-Released, Changed Availability, Added SUNSI Comment, Review and Release Date., SUNSI Review Complete, utsPARS","application/pdf",NA,"Continental Disc Corporation",NA,"Part 21 Correspondence","05000220, 05000373, 05000374, 05000410","false ","3","166,482","Report of Potential Safety Hazard in Accordance with Title 10 Code of Federal Regulations, Part 21.","ML17056B885","02/28/2017 12:53 PM EST",2017-02-21,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BD63FA5E9-2F20-485C-9FF7-A297C5731814%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Report of Potential Safety Hazard in Accordance with Title 10 Code of Federal Regulations, Part 21.",NA,NA,NA,NA
"93","NRC/FSME","Roberts D T","lcc2, OARC20060328kbr1=changed avail. to public, added date to be released & SISP Review Complete, oarc20060620mab8, oarc20060802mab8, oarc20060803mab8, oarc20060807mmn, oarc20060824mab8, oarc20060908mmn, oarc20060911mmn, oarc20060918mmn, OARC20060919MAB8, oarc20060926mmn, OARC20061222MAB8, OARC20070119MAB8, OARC20070123MAB8, OARC20071002MAB8, SISP Review Complete, tjb2","application/pdf","DPR-002, DPR-019, DPR-020, DPR-025, DPR-029, DPR-030, DPR-031, DPR-041, DPR-063, NPF-035, NPF-047, NPF-052, NPF-057, NPF-058, NPF-069, NPF-072, NPF-077","Rosemount Nuclear Instruments, Inc","+kBR1SISP20060328","Part 21 Correspondence","05000010, 05000220, 05000237, 05000249, 05000250, 05000251, 05000254, 05000255, 05000265, 05000354, 05000410, 05000413, 05000414, 05000424, 05000425, 05000440, 05000441, 05000456, 05000457, 05000458","false ","13","386,705","Rosemount Nuclear Instruments,  Inc., Notification under 10 CFR Part 21 for Model 1153 and Model 1154 Pressure Transmitters.","ML060860085","03/28/2006 11:41 AM EST",2006-03-21,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7BFD9D6A1F-86A1-4E1F-8741-E471A5E00B2F%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Rosemount Nuclear Instruments,  Inc., Notification under 10 CFR Part 21 for Model 1153 and Model 1154 Pressure Transmitters.",NA,NA,NA,NA
"94","NRC/Document Control Desk, NRC/NRR","Black K","dml1, JRR3, OARC20020701LME=Corrected Dist code per M. Collins., OARC20070928MAB8, TIFF converted to PDF 11/04/2005","application/pdf",NA,"Rotork Controls, Inc","10 CFR 21","Part 21 Correspondence",NA,"false ","28","1,405,201","Rotork Controls, Inc., 10CFR21 Report re NAI type Electric Valve Actuators fitted with Add-on-Pak 1 (AOP1) Assembly, manufactured between 1978 (post 78 build) & October 2001, containing safety function & used for end of travel indication.","ML021790313","07/09/2002 09:15 AM EDT",2002-06-10,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B6ED132AC-8208-490E-B41C-207934C25593%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Rotork Controls, Inc., 10CFR21 Report re NAI type Electric Valve Actuators fitted with Add-on-Pak 1 (AOP1) Assembly, manufactured between 1978 (post 78 build) & October 2001, containing safety function & used for end of travel indication.",NA,NA,NA,NA
"95","NRC/Document Control Desk, NRC/NRR","Black K","laf1, oarc20070925wjd1, tjb2","application/pdf",NA,"Rotork Controls, Inc","ER244, NEP01, NEP02","Deficiency Correspondence (per 10CFR50.55e and Part 21), Letter, Part 21 Correspondence",NA,"false ","28","1,190,495","Rotork Part 21 Notification Dated May 28, 2004 - NAl Switch Mechanisms Manufactured Between 1978 And November 2001.","ML041560010","06/14/2004 07:51 AM EDT",2004-05-28,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B4E50FD5E-538D-4E26-8041-FC0F911308BB%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Rotork Part 21 Notification Dated May 28, 2004 - NAl Switch Mechanisms Manufactured Between 1978 And November 2001.",NA,NA,NA,NA
"96","NRC/Document Control Desk, NRC/NRR","Warner M E","dnw, OARC20061102MAB8, OARC20070925MAB8, tjb2","application/pdf","NPF-086","Florida Power & Light Energy Seabrook, LLC","NYN-04007","Letter, Part 21 Correspondence","05000443","false ","5","176,350","Seabrook Station - Undersized Emergency Feedwater Pump Shaft Report Pursuant to 10 CFR Part 21.21.","ML040420567","02/20/2004 09:04 AM EST",2004-02-03,"http://adams.nrc.gov:9080/wba/view?action=view&actionId=view&ids=[{""documentId"":%7B%22dataProviderId%22%3A%22ce_bp8os_repository%22%2C%22compound%22%3Afalse%2C%22properties%22%3A%7B%22%24os%22%3A%22ADAMSPublicOS%22%2C%22ce_object_id%22%3A%22%7B24287BA6-025C-4762-9214-29C045A034BF%7D%22%2C%22%24is_compound%22%3Afalse%7D%7D}]&mimeType=application/pdf&docTitle=Seabrook Station - Undersized Emergency Feedwater Pump Shaft Report Pursuant to 10 CFR Part 21.21.",NA,NA,NA,NA
